,path,emotion
0,audio_emotions/data/training/Actor_17/17_02_02_01_dogs-sitting_sad.wav,sad
1,audio_emotions/data/training/Actor_17/17_02_01_02_kids-talking_sad.wav,sad
2,audio_emotions/data/training/Actor_17/17_02_02_02_kids-talking_sad.wav,sad
3,audio_emotions/data/training/Actor_17/03-02-04-01-01-02-17_sad.wav,sad
4,audio_emotions/data/training/Actor_17/17_02_02_01_kids-talking_sad.wav,sad
5,audio_emotions/data/training/Actor_17/03-02-04-02-01-02-17_sad.wav,sad
6,audio_emotions/data/training/Actor_17/17_02_02_02_dogs-sitting_sad.wav,sad
7,audio_emotions/data/training/Actor_17/17_02_01_01_kids-talking_sad.wav,sad
8,audio_emotions/data/training/Actor_17/03-02-04-01-02-01-17_sad.wav,sad
9,audio_emotions/data/training/Actor_17/03-02-04-02-02-01-17_sad.wav,sad
10,audio_emotions/data/training/Actor_17/03-02-04-01-01-01-17_sad.wav,sad
11,audio_emotions/data/training/Actor_17/17_02_01_02_dogs-sitting_sad.wav,sad
12,audio_emotions/data/training/Actor_17/03-02-04-02-01-01-17_sad.wav,sad
13,audio_emotions/data/training/Actor_17/17_02_01_01_dogs-sitting_sad.wav,sad
14,audio_emotions/data/training/Actor_17/03-02-04-01-02-02-17_sad.wav,sad
15,audio_emotions/data/training/Actor_17/03-02-04-02-02-02-17_sad.wav,sad
16,audio_emotions/data/training/Actor_14/14_02_01_02_dogs-sitting_sad.wav,sad
17,audio_emotions/data/training/Actor_14/03-02-04-01-02-02-14_sad.wav,sad
18,audio_emotions/data/training/Actor_14/03-02-04-01-01-01-14_sad.wav,sad
19,audio_emotions/data/training/Actor_14/03-02-04-02-02-01-14_sad.wav,sad
20,audio_emotions/data/training/Actor_14/14_02_01_01_dogs-sitting_sad.wav,sad
21,audio_emotions/data/training/Actor_14/14_02_01_02_kids-talking_sad.wav,sad
22,audio_emotions/data/training/Actor_14/03-02-04-02-02-02-14_sad.wav,sad
23,audio_emotions/data/training/Actor_14/14_02_02_02_dogs-sitting_sad.wav,sad
24,audio_emotions/data/training/Actor_14/14_02_02_01_kids-talking_sad.wav,sad
25,audio_emotions/data/training/Actor_14/14_02_02_02_kids-talking_sad.wav,sad
26,audio_emotions/data/training/Actor_14/03-02-04-01-02-01-14_sad.wav,sad
27,audio_emotions/data/training/Actor_14/03-02-04-02-01-02-14_sad.wav,sad
28,audio_emotions/data/training/Actor_14/14_02_01_01_kids-talking_sad.wav,sad
29,audio_emotions/data/training/Actor_14/03-02-04-02-01-01-14_sad.wav,sad
30,audio_emotions/data/training/Actor_14/14_02_02_01_dogs-sitting_sad.wav,sad
31,audio_emotions/data/training/Actor_14/03-02-04-01-01-02-14_sad.wav,sad
32,audio_emotions/data/training/Actor_09/09_02_02_01_dogs-sitting_sad.wav,sad
33,audio_emotions/data/training/Actor_09/09_02_01_01_kids-talking_sad.wav,sad
34,audio_emotions/data/training/Actor_09/09_01_02_02_kids-talking_sad.wav,sad
35,audio_emotions/data/training/Actor_09/09_01_01_02_kids-talking_sad.wav,sad
36,audio_emotions/data/training/Actor_09/09_01_02_01_dogs-sitting_sad.wav,sad
37,audio_emotions/data/training/Actor_09/09_01_02_01_kids-talking_sad.wav,sad
38,audio_emotions/data/training/Actor_09/09_01_01_01_kids-talking_sad.wav,sad
39,audio_emotions/data/training/Actor_09/09_02_02_02_dogs-sitting_sad.wav,sad
40,audio_emotions/data/training/Actor_09/09_02_01_02_kids-talking_sad.wav,sad
41,audio_emotions/data/training/Actor_09/09_01_02_02_dogs-sitting_sad.wav,sad
42,audio_emotions/data/training/Actor_09/09_02_02_02_kids-talking_sad.wav,sad
43,audio_emotions/data/training/Actor_09/09_02_01_02_dogs-sitting_sad.wav,sad
44,audio_emotions/data/training/Actor_09/09_01_01_02_dogs-sitting_sad.wav,sad
45,audio_emotions/data/training/Actor_09/09_02_02_01_kids-talking_sad.wav,sad
46,audio_emotions/data/training/Actor_09/09_02_01_01_dogs-sitting_sad.wav,sad
47,audio_emotions/data/training/Actor_09/09_01_01_01_dogs-sitting_sad.wav,sad
48,audio_emotions/data/training/Actor_20/03-02-04-02-02-02-20_sad.wav,sad
49,audio_emotions/data/training/Actor_20/20_01_01_01_kids-talking_sad.wav,sad
50,audio_emotions/data/training/Actor_20/03-02-04-02-01-02-20_sad.wav,sad
51,audio_emotions/data/training/Actor_20/03-02-04-01-02-02-20_sad.wav,sad
52,audio_emotions/data/training/Actor_20/03-02-04-01-02-01-20_sad.wav,sad
53,audio_emotions/data/training/Actor_20/20_01_01_02_dogs-sitting_sad.wav,sad
54,audio_emotions/data/training/Actor_20/20_01_01_02_kids-talking_sad.wav,sad
55,audio_emotions/data/training/Actor_20/03-02-04-02-02-01-20_sad.wav,sad
56,audio_emotions/data/training/Actor_20/20_01_02_01_kids-talking_sad.wav,sad
57,audio_emotions/data/training/Actor_20/03-02-04-02-01-01-20_sad.wav,sad
58,audio_emotions/data/training/Actor_20/20_01_01_01_dogs-sitting_sad.wav,sad
59,audio_emotions/data/training/Actor_20/20_01_02_01_dogs-sitting_sad.wav,sad
60,audio_emotions/data/training/Actor_20/03-02-04-01-01-01-20_sad.wav,sad
61,audio_emotions/data/training/Actor_20/03-02-04-01-01-02-20_sad.wav,sad
62,audio_emotions/data/training/Actor_20/20_01_02_02_kids-talking_sad.wav,sad
63,audio_emotions/data/training/Actor_20/20_01_02_02_dogs-sitting_sad.wav,sad
64,audio_emotions/data/training/Actor_21/03-02-04-02-01-01-21_sad.wav,sad
